# 情境：best_practice｜說明：第一筆(職類推薦1)就命中，且廠商送出的所有職類100%都出現在前5名內（完美命中且全部可見）
情境,職缺名稱,duty0,duty1,duty2,duty3,duty4,職類推薦1,職類推薦2,職類推薦3,職類推薦4,職類推薦5,職類推薦6,職類推薦7,職類推薦8,職類推薦9,職類推薦10,命中名次,前5名覆蓋數,廠商送出數
best_practice,全家大園華儲加盟店（靠菓林，機車可停門口）（兼職開門班）,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,調酒師／吧台人員,冷熱飲調製人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,侍酒師,外送人員,餐飲主管,1,2,2
best_practice,全家便利商店––亞慶店★★工讀午晚班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,樓面管理人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––亞慶店★★工讀早午班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,樓面管理人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––鴻啟店★★工讀早午班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,樓面管理人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––鴻啟店★★工讀午晚班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,樓面管理人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––凱撒店★★工讀早午班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,調酒師／吧台人員,遊樂景點工作人員,樓面管理人員,餐飲主管,侍酒師,1,2,2
best_practice,全家便利商店––凱撒店★★工讀午晚班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,調酒師／吧台人員,遊樂景點工作人員,樓面管理人員,餐飲主管,侍酒師,1,2,2
best_practice,全家便利商店––摩天店★★工讀午晚班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,樓面管理人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––摩天店★★工讀早午班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,樓面管理人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––正陽店★★工讀早午班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,飯店／旅館服務人員,調酒師／吧台人員,樓面管理人員,休閒娛樂事業從業人員,餐飲主管,遊樂景點工作人員,冷熱飲調製人員,1,2,2
best_practice,全家便利商店––正陽店★★工讀午晚班,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,店長／門市管理人員,飯店／旅館服務人員,調酒師／吧台人員,休閒娛樂事業從業人員,樓面管理人員,餐飲主管,遊樂景點工作人員,冷熱飲調製人員,1,2,2
best_practice,7-11統一超商-壯圍門市(晚班工讀),門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,遊樂景點工作人員,休閒娛樂事業從業人員,飯店／旅館服務人員,冷熱飲調製人員,店長／門市管理人員,金融營業人員,調酒師／吧台人員,資材主管,1,2,2
best_practice,7-11統一超商-壯志門市(晚班工讀),門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,遊樂景點工作人員,休閒娛樂事業從業人員,飯店／旅館服務人員,冷熱飲調製人員,店長／門市管理人員,調酒師／吧台人員,金融營業人員,資材主管,1,2,2
best_practice,全家善化啤酒門市大夜班人員,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,調酒師／吧台人員,休閒娛樂事業從業人員,冷熱飲調製人員,餐飲主管,店長／門市管理人員,樓面管理人員,遊樂景點工作人員,1,2,2
best_practice,全家便利店太平熊幸福店大夜人員,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,調酒師／吧台人員,飯店／旅館服務人員,冷熱飲調製人員,售票／收銀人員,休閒娛樂事業從業人員,遊樂景點工作人員,店長／門市管理人員,餐飲主管,樓面管理人員,1,2,2
best_practice,全家便利商店 服務人員【橋頭糖廠店】,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,飯店／旅館服務人員,店長／門市管理人員,休閒娛樂事業從業人員,遊樂景點工作人員,調酒師／吧台人員,儲備幹部,樓面管理人員,侍酒師,1,2,2
best_practice,銷售人員(桃園 中壢門市),門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,行銷企劃人員,儲備幹部,產品經理,侍酒師,國內業務人員,調酒師／吧台人員,汽車銷售人員,餐飲主管,1,2,2
best_practice,全家中壢復華店徵大夜計時人員,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,休閒娛樂事業從業人員,冷熱飲調製人員,售票／收銀人員,調酒師／吧台人員,餐飲主管,遊樂景點工作人員,藥師助理,金融營業人員,1,2,2
best_practice,全家便利商店竹東東寧店【工讀早班】,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,店長／門市管理人員,售票／收銀人員,休閒娛樂事業從業人員,樓面管理人員,餐飲主管,遊樂景點工作人員,調酒師／吧台人員,侍酒師,1,2,2
