類別,雜訊字詞,出現次數
2_分區,_金屬加工大廠,6
2_分區,連鎖門市,6
2_分區,板橋廠,6
2_分區,壢工業區：工廠,6
2_分區,南崁服務廠,6
2_分區,南科嘉義營運廠,6
2_分區,太保市,6
2_分區,查修直營廠,6
2_分區,石門區,6
2_分區,竹北科技廠,6
2_分區,中科大雅】廠,6
2_分區,B館,6
2_分區,釣具門市,5
2_分區,桃園龜山廠,5
2_分區,基隆門市,5
2_分區,】知名科技大廠,5
2_分區,藥局門市,5
2_分區,大夜門市,5
2_分區,北屯市,5
2_分區,家便利商店-門市,5
2_分區,食品加工廠,5
2_分區,大里廠,5
2_分區,7-11保成門市,5
2_分區,食品工廠,5
2_分區,北高廠,5
2_分區,北台北辦事處,5
2_分區,朴子市,5
2_分區,七股區,5
2_分區,西港區,5
2_分區,後壁區,5
2_分區,北斗鎮,5
2_分區,鹿港鎮,5
2_分區,溪湖鎮,5
2_分區,梓官區,5
2_分區,臺中服務處,5
2_分區,西螺區,5
2_分區,三廠,5
2_分區,招募門市,5
2_分區,k樂扣樂扣-門市,5
2_分區,底薪+門市,5
2_分區,1店,5
2_分區,大村廠,5
2_分區,溪口廠,5
2_分區,石岡區,5
2_分區,宜蘭廠,5
2_分區,內湖分公司,5
2_分區,嘉義分公司,5
2_分區,大林廠,5
2_分區,】東星眼鏡－門市,5
2_分區,A廠,5
2_分區,台北新廠,5
2_分區,名超商食品大廠,5
2_分區,_知名電聲大廠,5
2_分區,JINS_門市,5
2_分區,北興廠,5
2_分區,中壢市,5
2_分區,2店,5
2_分區,🦐蝦皮店到店門市,5
2_分區,烘焙】中央工廠,5
2_分區,A11店,5
2_分區,旗山廠,5
2_分區,消費性電子大廠,5
2_分區,麻豆廠,5
2_分區,_知名紡織大廠,5
2_分區,A11館,5
2_分區,桃園南崁廠,5
2_分區,白河,5
2_分區,永安市,5
2_分區,生物製劑廠,5
2_分區,桃園大遠百門市,5
2_分區,長期駐廠,5
2_分區,拉亞漢堡杭南門市,5
2_分區,就近上班｜🦐門市,5
2_分區,⭐智取｜自選門市,5
2_分區,田中鎮,5
2_分區,外埔區,5
2_分區,下營區,5
2_分區,優面議)藥局門市,5
2_分區,營造廠,5
2_分區,新港台塑廠,5
2_分區,海外廠,5
2_分區,tant資深門市,5
2_分區,代檢廠,5
2_分區,_電子元件大廠,5
2_分區,工程師-仁義廠,5
2_分區,_上市電子大廠,5
2_分區,市中壢區內壢分公司,5
2_分區,環安廠,5
2_分區,龍潭廠,5
2_分區,導體與高科技廠,5
2_分區,潮州廠,5
2_分區,北門區,5
2_分區,污水處理廠,5
2_分區,統一超商金磚門市,4
2_分區,士林門市,4
2_分區,嘉義大林廠,4
2_分區,宜蘭員山廠,4
2_分區,『中壢龍岡廠,4
2_分區,7-11松復門市,4
2_分區,A13店,4
2_分區,新店門市,4
2_分區,台南官田廠,4
2_分區,新莊】藥廠,4
2_分區,虎尾廠,4
2_分區,桃園營業所,4
2_分區,新屋廠,4
2_分區,正職門市,4
2_分區,店_兼職晚班門市,4
2_分區,店_兼職午班門市,4
2_分區,全家門市,4
2_分區,**食品廠,4
2_分區,_知名化工大廠,4
2_分區,永康廠,4
2_分區,仁武廠,4
2_分區,商山崎｜林口廠,4
2_分區,台北門市,4
2_分區,美濃區,4
2_分區,統一超商海王門市,4
2_分區,區)聯合招募門市,4
2_分區,購-美廉社-門市,4
2_分區,半導體科技大廠,4
2_分區,統一超商聖央門市,4
2_分區,科技睡眠品牌門市,4
2_分區,東港鎮,4
2_分區,永安分公司,4
2_分區,林口二廠,4
2_分區,縣竹北市竹北分公司,4
2_分區,市林口區林口分公司,4
2_分區,市東勢區東勢分公司,4
2_分區,大安分公司,4
2_分區,北港廠,4
2_分區,虎尾鎮,4
2_分區,官田區,4
2_分區,後龍鎮,4
2_分區,二林鎮,4
2_分區,7-11崴盛門市,4
2_分區,山上,4
2_分區,_知名網通大廠,4
2_分區,桃科廠,4
2_分區,斗南區,4
2_分區,后里廠,4
2_分區,新北樹林廠,4
2_分區,中壢門市,4
2_分區,知名記憶體大廠,4
2_分區,店］加盟店徵門市,4
2_分區,統一超商港寰門市,4
2_分區,一超商愛之船門市,4
2_分區,永安區,4
2_分區,新營分公司,4
2_分區,土城分公司,4
2_分區,臺北服務處,4
2_分區,新店廠,4
2_分區,_知名散熱大廠,4
2_分區,師_連接器大廠,4
2_分區,統一超商府中門市,4
2_分區,7-11東英門市,4
2_分區,半導體材料大廠,4
2_分區,科技大廠,4
2_分區,新竹門市,4
2_分區,必勝客-全職門市,4
2_分區,A4館,4
2_分區,電子廠,4
